grand_prix,racerId,year
Australian Grand Prix,18,2008
Malaysian Grand Prix,19,2008
Spanish Grand Prix,21,2008
Turkish Grand Prix,22,2008
German Grand Prix,27,2008
Belgian Grand Prix,30,2008
Italian Grand Prix,31,2008
Brazilian Grand Prix,35,2008
Australian Grand Prix,36,2007
Malaysian Grand Prix,37,2007
Bahrain Grand Prix,38,2007
United States Grand Prix,42,2007
French Grand Prix,43,2007
Turkish Grand Prix,47,2007
Italian Grand Prix,48,2007
Belgian Grand Prix,49,2007
Brazilian Grand Prix,16,2009
Australian Grand Prix,338,2010
Turkish Grand Prix,343,2010
British Grand Prix,346,2010
German Grand Prix,347,2010
Belgian Grand Prix,349,2010
Japanese Grand Prix,352,2010
Brazilian Grand Prix,354,2010
Australian Grand Prix,841,2011
Turkish Grand Prix,844,2011
British Grand Prix,849,2011
Italian Grand Prix,853,2011
Japanese Grand Prix,855,2011
Indian Grand Prix,857,2011
Australian Grand Prix,860,2012
Canadian Grand Prix,866,2012
British Grand Prix,868,2012
Italian Grand Prix,872,2012
Japanese Grand Prix,874,2012
Indian Grand Prix,876,2012
British Grand Prix,44,2007
Brazilian Grand Prix,52,2007
Brazilian Grand Prix,987,2017
Australian Grand Prix,989,2018
British Grand Prix,998,2018
Bahrain Grand Prix,20,2008
French Grand Prix,25,2008
Belgian Grand Prix,12,2009
Italian Grand Prix,13,2009
Australian Grand Prix,55,2006
San Marino Grand Prix,56,2006
Spanish Grand Prix,58,2006
Canadian Grand Prix,61,2006
French Grand Prix,63,2006
Japanese Grand Prix,69,2006
Brazilian Grand Prix,70,2006
Australian Grand Prix,71,2005
Bahrain Grand Prix,73,2005
Spanish Grand Prix,75,2005
Canadian Grand Prix,78,2005
French Grand Prix,80,2005
British Grand Prix,81,2005
Turkish Grand Prix,84,2005
Belgian Grand Prix,86,2005
Brazilian Grand Prix,87,2005
Japanese Grand Prix,88,2005
Chinese Grand Prix,89,2005
French Grand Prix,99,2004
Belgian Grand Prix,103,2004
Chinese Grand Prix,105,2004
Japanese Grand Prix,106,2004
Brazilian Grand Prix,107,2004
Malaysian Grand Prix,91,2004
British Grand Prix,100,2004
Belgian Grand Prix,852,2011
Brazilian Grand Prix,859,2011
German Grand Prix,869,2012
Belgian Grand Prix,871,2012
Australian Grand Prix,880,2013
Belgian Grand Prix,891,2013
Italian Grand Prix,892,2013
Japanese Grand Prix,895,2013
